instance,solver,makespan,runtime_s,gap_%

kacem/k1.txt_4x5.txt,Gurobi,100,0.70,0
kacem/k1.txt_4x5.txt,Mod-Gurobi,100,0.02,0
kacem/k1.txt_4x5.txt,GA,100,2.40,0
kacem/k1.txt_4x5.txt,SA,100,20.00,0
kacem/k1.txt_4x5.txt,PSO,100,0.57,0

hurink/vdata/car8.txt_8x8.txt,Gurobi,4613,20.00,0
hurink/vdata/car8.txt_8x8.txt,Mod-Gurobi,4613,19.00,0
hurink/vdata/car8.txt_8x8.txt,GA,5354,18.00,16.00
hurink/vdata/car8.txt_8x8.txt,SA,5741,7.00,24.00
hurink/vdata/car8.txt_8x8.txt,PSO,5258,6.00,14.00

hurink/edata/mt10.txt_10x10.txt,Gurobi,871,340.00,0
hurink/edata/mt10.txt_10x10.txt,Mod-Gurobi,871,320.00,0
hurink/edata/mt10.txt_10x10.txt,GA,1154,60.00,32.50
hurink/edata/mt10.txt_10x10.txt,SA,1280,70.00,47.00
hurink/edata/mt10.txt_10x10.txt,PSO,1250,45.00,43.53

hurink/edata/la24.txt_15x10.txt,Gurobi,908,14400.00,0
hurink/edata/la24.txt_15x10.txt,Mod-Gurobi,908,12420.00,0
hurink/edata/la24.txt_15x10.txt,GA,1475,280.00,62.45
hurink/edata/la24.txt_15x10.txt,SA,1552,370.00,70.95
hurink/edata/la24.txt_15x10.txt,PSO,1515,250.00,66.88

hurink/edata/la36.txt_15x15.txt,Gurobi,1160,362880.00,0
hurink/edata/la36.txt_15x15.txt,Mod-Gurobi,1160,216500.00,0
hurink/edata/la36.txt_15x15.txt,GA,1984,3800.00,71.03
hurink/edata/la36.txt_15x15.txt,SA,2118,5600.00,82.59
hurink/edata/la36.txt_15x15.txt,PSO,2058,3540.00,77.41
